permit_id,application_number,service_id,region_id,request_date,completion_date,processing_days,status,channel
1,PERM-2025-00001,S1,R1,2025-05-10,2025-05-12,2,Completed,Mobile App
2,PERM-2025-00002,S1,R1,2025-12-31,2026-01-03,3,Completed,Mobile App
3,PERM-2025-00003,S5,R2,2025-11-10,2025-12-13,33,Completed,Service Center
4,PERM-2023-00004,S5,R1,2023-05-02,2023-05-11,9,Completed,Online Portal
5,PERM-2024-00005,S2,R1,2024-04-11,2024-04-12,1,Completed,Mobile App
6,PERM-2023-00006,S1,R1,2023-11-27,2023-11-28,1,Completed,Online Portal
7,PERM-2023-00007,S1,R4,2023-03-29,2023-04-01,3,Completed,Mobile App
8,PERM-2025-00008,S2,R2,2025-05-21,2025-05-24,3,Completed,Online Portal
9,PERM-2023-00009,S5,R2,2023-05-11,2023-05-21,10,Completed,Online Portal
10,PERM-2025-00010,S1,R1,2025-02-08,2025-02-11,3,Completed,Online Portal
11,PERM-2023-00011,S3,R2,2023-12-10,2023-12-13,3,Completed,Mobile App
12,PERM-2025-00012,S1,R1,2025-03-16,,25,Under Review,Service Center
13,PERM-2024-00013,S5,R2,2024-01-21,2024-02-01,11,Completed,Online Portal
14,PERM-2025-00014,S2,R4,2025-08-13,2025-08-15,2,Completed,Online Portal
15,PERM-2023-00015,S3,R2,2023-10-04,2023-10-05,1,Completed,Online Portal
16,PERM-2024-00016,S2,R3,2024-04-04,2024-04-05,1,Completed,Mobile App
17,PERM-2023-00017,S2,R2,2023-01-22,2023-01-24,2,Completed,Online Portal
18,PERM-2023-00018,S1,R1,2023-09-10,2023-09-11,1,Completed,Mobile App
19,PERM-2025-00019,S1,R4,2025-01-17,2025-02-02,16,Completed,Kiosk
20,PERM-2025-00020,S5,R1,2025-05-06,2025-06-07,32,Completed,Service Center
21,PERM-2024-00021,S4,R1,2024-04-19,2024-04-22,3,Completed,Online Portal
22,PERM-2025-00022,S4,R1,2025-12-18,,13,Under Review,Service Center
23,PERM-2024-00023,S2,R1,2024-05-25,2024-05-27,2,Completed,Mobile App
24,PERM-2024-00024,S3,R1,2024-11-30,2024-12-02,2,Completed,Online Portal
25,PERM-2025-00025,S1,R1,2025-09-02,2025-09-05,3,Completed,Mobile App
26,PERM-2023-00026,S2,R1,2023-07-09,2023-07-30,21,Rejected,Service Center
27,PERM-2025-00027,S2,R2,2025-08-15,2025-08-17,2,Completed,Online Portal
28,PERM-2024-00028,S2,R1,2024-11-17,2024-11-19,2,Completed,Online Portal
29,PERM-2025-00029,S2,R1,2025-08-15,,2,Under Review,Online Portal
30,PERM-2024-00030,S1,R2,2024-07-16,2024-07-19,3,Completed,Mobile App
31,PERM-2025-00031,S2,R1,2025-04-11,2025-04-13,2,Completed,Online Portal
32,PERM-2024-00032,S3,R2,2024-10-08,2024-10-26,18,Completed,Service Center
33,PERM-2023-00033,S2,R2,2023-01-21,2023-01-24,3,Completed,Mobile App
34,PERM-2025-00034,S1,R3,2025-04-20,2025-04-22,2,Rejected,Mobile App
